epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,,,9,,,,0.5742788314819336,,
,,,0,,,,,,0.46171677112579346
,,,1,,,,,,0.5536444187164307
,,,2,,,,,,0.488735169172287
,,,3,,,,,,0.3931120038032532
,,,4,,,,,,0.473966121673584
,,,5,,,,,,0.4007267355918884
,,,6,,,,,,0.4615187644958496
,,,7,,,,,,0.4426270127296448
,,,8,,,,,,0.4218166470527649
,,,9,,,,,,0.3559253215789795
0,0.947753369808197,0.948793888092041,18,,,,,0.4546327292919159,
0,,,18,,,0.6010057926177979,,,
1,,,19,,,,0.4728885889053345,,
1,,,29,,,,0.40754419565200806,,
,,,10,,,,,,0.38698112964630127
,,,11,,,,,,0.479483425617218
,,,12,,,,,,0.3933984041213989
,,,13,,,,,,0.3422602415084839
,,,14,,,,,,0.3930034935474396
,,,15,,,,,,0.32134804129600525
,,,16,,,,,,0.39736026525497437
,,,17,,,,,,0.3555556535720825
,,,18,,,,,,0.32950544357299805
,,,19,,,,,,0.31490200757980347
1,0.9581730961799622,0.9596836566925049,37,,,,,0.37722235918045044,
1,,,37,,,0.4208628833293915,,,
2,,,39,,,,0.3599308133125305,,
2,,,49,,,,0.3414287865161896,,
,,,20,,,,,,0.3597891628742218
,,,21,,,,,,0.4096342623233795
,,,22,,,,,,0.3524670898914337
,,,23,,,,,,0.33062395453453064
,,,24,,,,,,0.38057994842529297
,,,25,,,,,,0.3162144422531128
,,,26,,,,,,0.4017561376094818
,,,27,,,,,,0.3285676836967468
,,,28,,,,,,0.31951606273651123
,,,29,,,,,,0.3135361671447754
2,0.9757092595100403,0.9750298857688904,56,,,,,0.3551718294620514,
2,,,56,,,0.3583422005176544,,,
3,,,59,,,,0.332050085067749,,
3,,,69,,,,0.320650190114975,,
,,,30,,,,,,0.38641202449798584
,,,31,,,,,,0.38128548860549927
,,,32,,,,,,0.3595890402793884
,,,33,,,,,,0.3432408571243286
,,,34,,,,,,0.37659281492233276
,,,35,,,,,,0.3141081929206848
,,,36,,,,,,0.37258559465408325
,,,37,,,,,,0.3176293969154358
,,,38,,,,,,0.3160097301006317
,,,39,,,,,,0.3132985830307007
3,0.9687331318855286,0.9684641361236572,75,,,,,0.3516727387905121,
3,,,75,,,0.3337479829788208,,,
4,,,79,,,,0.3221309185028076,,
4,,,89,,,,0.32120755314826965,,
,,,40,,,,,,0.4046132266521454
,,,41,,,,,,0.3907511830329895
,,,42,,,,,,0.36243194341659546
,,,43,,,,,,0.3525616526603699
,,,44,,,,,,0.378177285194397
,,,45,,,,,,0.3138303756713867
