epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,,,9,,,,0.5625593662261963,,
,,,0,,,,,,0.4014420807361603
,,,1,,,,,,0.5409790873527527
,,,2,,,,,,0.384255051612854
,,,3,,,,,,0.3983765244483948
,,,4,,,,,,0.39070454239845276
,,,5,,,,,,0.45825061202049255
,,,6,,,,,,0.46490275859832764
,,,7,,,,,,0.45130693912506104
,,,8,,,,,,0.41299527883529663
,,,9,,,,,,0.3650992512702942
0,0.9342568516731262,0.9340918660163879,18,,,,,0.433217316865921,
0,,,18,,,0.5798402428627014,,,
1,,,19,,,,0.4383734464645386,,
1,,,29,,,,0.40279409289360046,,
,,,10,,,,,,0.38174760341644287
,,,11,,,,,,0.5123411417007446
,,,12,,,,,,0.35815370082855225
,,,13,,,,,,0.3762788474559784
,,,14,,,,,,0.33051419258117676
,,,15,,,,,,0.3878752887248993
,,,16,,,,,,0.3527016043663025
,,,17,,,,,,0.3715725839138031
,,,18,,,,,,0.32570016384124756
,,,19,,,,,,0.3168354332447052
1,0.9478886127471924,0.9503346085548401,37,,,,,0.37701377272605896,
1,,,37,,,0.40199220180511475,,,
2,,,39,,,,0.4076477885246277,,
2,,,49,,,,0.3345254957675934,,
,,,20,,,,,,0.38809090852737427
,,,21,,,,,,0.49521583318710327
,,,22,,,,,,0.34385693073272705
,,,23,,,,,,0.37098872661590576
,,,24,,,,,,0.31672513484954834
,,,25,,,,,,0.3782711923122406
,,,26,,,,,,0.32524698972702026
,,,27,,,,,,0.3449951410293579
,,,28,,,,,,0.316875696182251
,,,29,,,,,,0.3136116862297058
2,0.9548367857933044,0.9573162198066711,56,,,,,0.36412328481674194,
2,,,56,,,0.3485056161880493,,,
3,,,59,,,,0.3806709051132202,,
3,,,69,,,,0.3256196975708008,,
,,,30,,,,,,0.3776341676712036
,,,31,,,,,,0.46097061038017273
,,,32,,,,,,0.32936984300613403
,,,33,,,,,,0.36098283529281616
,,,34,,,,,,0.315639853477478
,,,35,,,,,,0.3761407434940338
,,,36,,,,,,0.31947988271713257
,,,37,,,,,,0.32247549295425415
,,,38,,,,,,0.3161318004131317
,,,39,,,,,,0.3133642077445984
